date,likesCount,commentsCount,text,Sentiment
2023-01-06T19:06:41.000Z,0,,"the greenhouse effect is concerned with the infrared radiation given off by the earth the suns radiation basically passes through the oxygen and nitrogen in the earths atmosphere and lands on the earths surface where  of it is absorbed  is reflected back into the atmosphere part of this radiation bounces off the greenhouse gases and returns to be absorbed by earth the greenhouses gases ghgs are water vapor ho carbon dioxide co nitrous oxide no and methane ch

how long does co remain in the atmosphere this is a difficult question because there are several processes that remove carbon dioxide from the atmosphere from  to  of the co that is released into the air dissolves into the ocean over a period of  years the rest is removed over several hundred thousand years according to the ipcc fourth assessment report about  of co increase will be removed from the atmosphere within  years another  will be removed within a few centuries and the remaining  may stay in the atmosphere for thousands of years this means that if we could stop carbon dioxide emissions tomorrow the carbon dioxide in the atmosphere would continue to warm the climate for thousands of years methane ch by contrast persists for about  years thus even though methane is  times more potent than carbon dioxide its effect is relatively shortlived furthermore methane has increased from  ppb in  to  ppb today notice that is parts per billion not parts per million

if the emissions of carbon dioxide into the atmosphere are causing global warming how much will the earth warm up by the year  this depends upon how many billions of tons of carbon dioxide are being emitted into the atmosphere as a general rule about  trillion tons of additional carbon dioxide in the atmosphere actually  billion will translate to about  ppm of additional carbon dioxide also  ppm of additional carbon dioxide translates to about  f  c in global warming this can be verified by the fact that preindustrial carbon dioxide was about  ppm and is now about  ppm during this period the planet warmed up about  c

scientists have measured the amount of atmospheric carbon dioxide which corresponds to  ppm and have found that this corresponds to  billion metric tons of co in the atmosphere therefore in order to increase the global temperature by  c you would need  x  billion or  billion metric tons of carbon dioxide a metric ton equals  kilograms or  x    pounds the us is the only country in the world that does not use the metric ton in  the world pumped  billion metric tons or  us gt of carbon dioxide into the atmosphere the average per capita emission of carbon dioxide is  metric tons per person per year in the year  there will be about  billion people therefore in  in a businessasusual scenario we can expect the world to emit  x  or  billion metric tons into the atmosphere per year or an average of  billion tons for the next  years ie an accumulation of  trillion tons of co by   less   tt due to carbon sinks the oceans are almost saturated with co the world will have an accumulation of tt    of carbon in the atmosphere dividing  trillion tons of co by  million   c  f  this means that the world will be  f warmer in  than it was in 

the rise in sea level comes from two distinct processes water expansions  feet due to the added  f of increased temperature and melting ice mainly from greenland  feet and the antarctica  feet or  total feet by  as well as increased extraction of groundwater due to irrigation   although we do not usually notice it water expands very slightly as it gets warmer the second and potentially greater contribution to rising sea level comes from the melting of glacial ice antarctica has  of the ice greenland has  of the ice  trillion tons of ice and the remaining  is tied up in continental glaciers which except for the himalayas will all melt by   if greenland completely melts it will raise the sea level by about  feet  meters  if the antarctica completely melts it will add  feet or  meters to the sea level rise   

in the year  i predict that fossil fuels will be almost depleted coal may last until  and that the temperature rise will level off my model predicts that greenland will be losing about  gt of ice per year until the end of the century resulting in about  feet of sea level rise by   in addition the antarctica will add another  feet of sea level rise adding this to the  feet for thermal warming results in a sea level rise of  feet  now add  feet due to melting of the west antarctic ice sheet wais due to the collapse of the pine island and thwaites glaciers and you have a  foot sea level rise by the end of the century  noaa the national oceanic and atmospheric administration states that the oceans could rise  feet by  under a worsecase scenario namely a complete collapse of the wais  

what effect would a  foot sea level rise have on the us miami is one of the most vulnerable places to rising seas about  million americans would see their homes permanently flooded if sea levels rise just  feet if the sea level rises  feet  million americans would see their homes permanently flooded a new study predicts that as many as  million americans in coastal areas will have to relocate by  if the sea level rises  feet  meters which is what i expect to be the most likely scenario

in addition to sealevel rise global warming is contributing to increases in the spread of insectborne illnesses and cropdamaging pests for example diseases such as zika dengue fever and chikungunya are transmitted by mosquitoes which pick up these diseases by biting infected people and then spreading them to other people through subsequent bites research has shown that warmer temperatures shorten the incubation period which means the disease can spread more rapidly warmer temperatures also tend to increase the geographic range of insects

global warming also translates into more extreme weather events because higher temperatures mean an increase in energy in the atmosphere and oceans energy is what drives weather while we cannot attribute any particular storm to global warming we can tie an overall trend to global warming it makes logical sense that warm ocean waters give birth to more intense weather generally hurricanes cannot survive for long over sea surfaces that are cooler than about  f  c the longer the ocean waters stay above  f the more opportunity there is for a hurricane to blossom

lastly global warming will result in more droughts floods and water scarcity  demand for water has tripled during the past  years currently a half billion people live in a waterstressed country by  that number is expected to increase to about  billion the vast majority of fresh water about  is used for agriculture on the us east coast much of the water supply comes from surface water whereas most of the midwest gets its water supply from a combination of surface waters and well water the well water comes from underground aquifers such as the ogallala aquifer at present rates of withdrawal parts of the ogallala aquifer water will be available for irrigation for only another  to  years",Positive
2022-11-30T04:56:29.000Z,0,1.0,no to plastic pollution,Neutral
2023-07-13T16:46:20.000Z,19,15.0,i was born in  and spend a lot of time outdoors  its getting hotter and storms are getting more intense,Positive
2023-07-07T17:45:13.000Z,2,,we all have to move to the sahara desert and use solar energy very few trees to cut down in the sahara,Negative
2023-07-26T17:43:08.000Z,0,,so when did we start directly measure temperatures,Positive
2023-07-08T00:05:17.000Z,1,,,Neutral
2023-07-10T20:00:56.000Z,2,,"earth sun screen  we as collaborative earthlings launch lightweight material such as thin film darkened tinted plastic or some lightweight barrier carbon fiber into outer space to act as a sunscreen awning  louvers pergola between the earth and the sun placed in orbit to block out the hottest portion of the suns rays

trojan point  lagrange point  is the place between  orbiting bodies of gravity equilibrium equal pull in both directions wherein an object is stuck  suspended between the  orbiting bodies and appears motionless in the sky above this point between the earth and the sun is called l lagrange andis located approx  weeks journey from earth  possible timeline if  square miles of material are needed and if we can launch  square mile of sun screen material per launch  launches would be needed to assemble the full sun screen panel meaning an initial sunscreen could in theory be fully installed in  years

the orbital earth sun screen could be uv blocking or tinted different colors to change the color output of the suns light to benefit  amplify plant life with less heat or bad uv rays acting as not only a tint  sunglass but also a uv light filter blocking harmful uv rays while changing the output color of the sun to help plants grow faster with less direct uv heat

an orbital sunscreen could act as a thermostat to control the suns output to the earth giving mankind climate control it takes  weeks to get to l lagrange point  maintenance service and crew change missions are possible 

this is not a permanent fix only a delaying action  
can someone calculate how big a 
solid object 
spaced apart panels
would have to be to have a  degree effect etc

would any benefits come from this
adjustable tint 
change uv output  polarization for earth plantlife benefits
change output color for plantlife benefits 

thanks for any help or info on this matter",Positive
2023-09-01T16:10:07.000Z,1,,"this is what the creator says about climate abd weather

 amos 
i also withhold rain from you when the harvest was still three months away i sent rain on one town but withheld it from another one field had rain another had none and dried up

zechariah 
ask the lord for rain in the season of spring rain the lord makes the rain clouds and he will give them showers of rain and crops in the field for everyone

john 
the wind blows where it pleases and you hear its sound but you dont know where it comes from or where it is going so it is with everyone born of the spirit",Positive
2023-07-08T14:48:49.000Z,2,,awesome maybe i can start growing palm trees in my front yard,Positive
2023-07-12T20:30:32.000Z,1,,"if climate action is also important to you dont miss this weeks firelight chat on wednesday  climate where we are and what to do marianne will be joined by peter kalmus climate scientist and author of being the change live well and spark a climate revolution
you can watch the stream live directly on our website mariannecom or follow on facebook twitter or youtube this wednesday july th at pm et pm pt",Positive
2023-07-19T07:30:21.000Z,2,,please urge your political representatives to wake up and fight the fossil fuel industry,Neutral
2023-07-27T18:53:34.000Z,4,,"republicans would rather boil the planet and destroy the lives of future generationsthan admit that liberals and scientists were correct about climate change 

its literally that simple",Negative
2023-07-26T15:29:36.000Z,2,,planet earth is warming up fast  hurricanes flooding and spontaneous fires are occurring more often with more intensity,Positive
2023-07-13T16:33:35.000Z,5,1.0,now theyre aware,Positive
2023-07-08T11:55:35.000Z,1,1.0,how can the heat of the planet be measured accurately unless the body of the thermometer is placed in space and only the sensitive part on the earth just as it would not be accurate to measure anything by imprisoning the whole thermometer in it,Positive
2023-07-07T21:27:29.000Z,4,6.0,i guess we need to do more to reduce co emissions ,Positive
2023-07-10T15:18:43.000Z,2,1.0,,Neutral
2023-07-11T01:44:32.000Z,2,,nothing to see here folksmove right along,Positive
2023-07-24T15:58:50.000Z,1,2.0,im in disagreement with someone that says that the heat waves of the s prove that current climate science is wrong about co levels and climate change what is a good counterpoint to make,Positive
2023-07-07T23:26:01.000Z,9,,we are speedrunning global ecosystem collapse,Neutral
2023-07-08T21:01:39.000Z,1,,,Neutral
2023-07-07T16:37:57.000Z,0,,,Neutral
2023-07-13T22:50:26.000Z,1,1.0,wonder whats causing these heat waves and when are we starting the measuring in global temps,Neutral
2023-07-07T22:54:55.000Z,0,,joni shepherd silva charles silva,Neutral
2023-07-12T02:46:45.000Z,0,,genesis hc,Neutral
2023-09-15T11:35:56.000Z,0,,,Neutral
2023-07-11T20:20:23.000Z,0,2.0,cc  no way to predict accurately,Positive
2023-07-09T18:37:53.000Z,1,,httpsmyoutubecomwatchvxuahonwqhppyguzdhhdcbagugbwvkawnhbcbjbtdwpdhkgagfzihrvihnhesbhymdcbjbgltyxrl,Neutral
2023-07-14T23:10:32.000Z,0,,dont worrythe very uneducated oil sycophant magats assure us it is just weather ,Positive
2023-07-07T15:57:35.000Z,1,,httpslinksomediumcomwhythelatestonclimatechangeisdireandprobablyworsethantheyretellingusac,Neutral
2023-07-29T20:56:19.000Z,0,,suzie a woodruffgray,Neutral
2023-07-26T18:18:19.000Z,0,,,Neutral
2023-07-26T18:17:45.000Z,0,,,Neutral
2023-07-19T15:16:59.000Z,1,,dear world if there was ever a time for the world to unite it would be now i invite all on planet earth to join me giving our beautiful planet a day off  day a week on sundays the only requirement needed for this to happen and become a reality is rest the world is spending billions on uncertainty to save this planet trying to cool itbut cooling it is not changing the amount of emissions on earth or in the atmosphere watching and reading all that is beingattempted and done is like watching the movie groundhog day trial and errorunknown resultsuncertaintyknowing the damage and destructionand doing it anyway repeat again and again and again why hasnt there ever been a time promoting  no riskeffective solution to save planet earth eliminating the amount of emissions on and in the planet just by turning it all off it is free and results are immediate maybe this will not change the amount of emissions in atmosphere from  yrs agobut if earth got that rest  day a week it will absolutely rejuvenate all that is being used and needed for earth to be more efficient and effective stop experimenting with so much uncertainty that is potentially more destructive and jwork on promoting the world to give earth off on sundays and shut it off maybe the results would be miraculous and would heal this planet quicker than wed ever imagine we will never know until its done make that your great experiment to save the planet there is no more time to waste and wildfires fires and wars only escalated the time left we have to act immediately knowing results not tomorrows uncertainty shut it down  day a week and now thanks spread the word,Positive
2021-09-23T18:12:08.000Z,10,,thank you nasa climate change  your patience and thoroughness with deniers is remarkable  we need more scientists like you that can explain things to the average person  i hope to see more discussions like this  this is the worlds number one problem and no one wants to talk about it,Positive
2021-09-23T14:46:40.000Z,24,,i miss my  old school america  where we turned to our scientists and doctors for  advice about issues of climate and public health,Positive
2021-09-23T18:28:57.000Z,18,,thank you nasa for explaining the scientific evidence i enjoy reading your articles i know that im not a scientist but learning and having respect for our earth should be our ultimate goal,Positive
2021-09-23T12:55:54.000Z,33,10.0,im amazed that weve been warned since the s about greenhouse gases and i have seen little done over those years my hopes were after the awareness was made so would action and here we are ,Negative
2021-09-23T07:53:27.000Z,10,6.0,and in the last  years the variance is reduced by half or more that probably means that the oceans are absorbing and releasing energy faster than they used to that could be both the cause and the result of more severe weather systems just guessing,Positive
2021-09-23T17:36:51.000Z,0,,the question is how can we help each of us could do a little everyday i know many people who dont recicle and the amount of trash that is dumped into the oceanslakes rivers mountains it is huge if we all really care there lost of thinks we can do  to make the world a better place lest get informed and help lets doit for the new generation,Positive
2021-09-22T23:33:48.000Z,9,1.0,time to really do something different time to build back better better better,Positive
2021-09-23T19:46:23.000Z,1,5.0,only  years of data cmon now weve been going through the same cycles for eons,Neutral
2021-09-23T17:16:06.000Z,0,1.0,i dont understand the graph what does it all mean,Negative
2021-09-27T15:22:05.000Z,0,2.0,my question is to nasa the air in a greenhouse is heated by solar radiation an increase in solar radiation temperature would also increase temperature if the temperature outside the earths atmosphere is above the boiling point of water approx c is it not possible that an increase could affect the atmosphere also heated cosmic radiation could affect the temperature what comes to mind is the p theory in an outdoor public unheated pool you come along a warm spot of water we all know what that means the solar system could be traveling through such a heated radiation cloud the milky way galaxy has chaotic catastrophic events of stellar birth life and death throughout clouds or jets of superheated radiation blasted into space well we might be entering that space but closer to home one just has to look at a frosted window on a winter morning as the light from the sun hits it with temperatures below freezing the suns rays melts the frost back to my question are we just beating a dead horse in hopes to ride forever,Positive
2021-09-23T19:01:20.000Z,0,1.0,humans are not understanding life on earth because we only started to study it funny that the universe allows us to pretend we have a clue what a warmer earth actually means ,Positive
2021-09-23T17:34:40.000Z,0,,,Neutral
2021-10-04T14:52:50.000Z,0,,we all on the same boat i think if we didnt stop oil production by now the water would evaporate and goes outside earth,Neutral
2021-09-24T20:40:54.000Z,1,,omg  the slope of the blue line then the yellow line then the purple line and now the green line keep getting steeper  not only are we heating up but we are heating up faster  this is insane  and the eruptions during the cooling periodswonder if there will be cooling periods,Negative
2021-09-24T06:59:31.000Z,1,,"thank you nasa for continuing to highlight this climate catastrophe  please keep the conversation going as there is a lot of ignorance to overcome

the impacts of climate change are already here and are causing devastation to our ecology and environment   we need to campaign and  lobby our governments to bring in legislation quickly",Positive
2021-09-24T02:44:02.000Z,0,,sukhwinder singh,Neutral
2021-09-24T02:06:00.000Z,0,,i dont know much but i think humanity needs to start taking better care of the planet and what has happened to cleaner energy sources,Positive
2021-09-23T21:25:04.000Z,5,5.0,as i understand it even if we reduced emissions to preindustrial age levels we still have many meters of sea level rise baked into the oceans societies evolved in the relatively stable climate of the holocene its time we developed adaptation approaches for societies that recognize transformation is inevitable and we have entered the anthropocene how or if societies can adapt is still unclear,Positive
2021-09-23T21:04:00.000Z,1,1.0,"anthropogenic global warming is one symptom of a larger problem  the fact that we have exceeded the capacity of the planet to support us  we currently have no idea how to build a sustainable high technology civilisation ie one that uses no finite natural resources generates no pollution and produces no nonrecyclable waste  moving away from fossil fuels is necessary but nowhere near sufficient  as a recent paper says

we cannot stress enough that a nonfossil energy regime simply cannot support anywhere close to the present human population of nearly eight billion this urgently necessitates reducing human numbers as rapidly as possible to avoid unprecedented levels of social unrest and human suffering in the coming decades

httpswwwmdpicomhtm",Positive
2021-09-23T20:22:47.000Z,1,1.0,someone forgot to mention to florida that she was supposed to be warming we havent had an above average summer in  years now i miss my childhood summers when swimming was the only option,Negative
2021-09-23T19:50:48.000Z,0,,hot,Positive
2021-09-23T19:32:26.000Z,1,2.0,id like to go back to  please ,Neutral
2021-09-23T19:19:59.000Z,0,1.0, how has the sun changed in  years is it warmer for earth,Neutral
2021-09-23T19:19:04.000Z,13,18.0,climate change is a made up scenario from the dems seems they never complain about all the pollution  garbage in rd world countries only america where we have clean energy ,Positive
2021-09-23T17:41:49.000Z,5,2.0,the deniers always with the same statements again and again and again,Neutral
2021-09-23T16:28:21.000Z,26,18.0,taking a  years of temperature readings on a planet that is  billion years old and use those to form a meaningful conclusion or find a pattern would be the same as me interviewing a  year old person for less than one second and use that information to then write their complete biography,Positive
2021-09-23T16:23:44.000Z,6,11.0,i havent seen any difference  anywhere go ahead and push that agenda though,Neutral
2021-09-23T16:21:44.000Z,2,,why dont some people believe in science i just dont understand,Neutral
2021-09-23T16:21:13.000Z,0,10.0,remember the planet that we live on also went through an ice ageit goes through cycles js,Positive
2021-09-23T16:03:59.000Z,0,5.0,can we also get a data to the left of  say  years span,Neutral
2021-09-23T15:46:41.000Z,19,,the difficulty in arguing science with a scientist is that they know what they are talking about ,Neutral
2021-09-23T15:30:24.000Z,43,8.0,its worth remembering that land surfaces red in the graph below warm at about twice the rate of global mean temperature rise green and the arctic is warming around three times faster than the global mean  so c of global warming would mean c of average warming on land and c in the arctic  these are huge changes over the space of a human lifetime and we would struggle to adapt  best to do something about it soonish,Positive
2021-09-23T15:26:38.000Z,9,6.0,the three eruptions from  through  dumped huge amounts of pollution into the atmosphere and gases that create atmospheric warming ,Positive
2021-09-23T15:15:01.000Z,0,,i thought its stock market chart with indicator ,Neutral
2021-09-23T13:52:56.000Z,3,11.0,so in  years we have a temperature anomaly of  degree  ,Neutral
2021-09-23T13:37:52.000Z,15,5.0,scientific denial are we coming to the middle ages people are dening nasa observations scientific conclusions internet is realising stupidity whats next flat earth,Negative
2021-09-23T13:29:17.000Z,0,,wow cool or rather not so cool,Positive
2021-09-23T13:22:46.000Z,0,2.0,what caused the cooling after ww,Neutral
2021-09-23T10:51:55.000Z,3,,when are we going to do something ,Neutral
2021-09-23T06:16:50.000Z,0,,y vamos pariba,Neutral
2021-09-23T04:00:16.000Z,0,1.0,from where we can download this data,Neutral
2021-09-23T01:59:05.000Z,1,2.0,i hope for the best  but its still hot and i have no idea how to react  about all this crazy weather and everything that is been going on at this moment the only think i can do is pray for mercy,Positive
2021-09-23T01:56:21.000Z,0,,it is going to get very bad,Negative
2021-09-23T01:14:47.000Z,22,3.0,we have also in the uk lost much of our sea grass  that is also like trees very effective at taking co out of the cycle for quite a while,Positive
2021-09-23T00:55:02.000Z,1,10.0,we need to do two things to ensure our species continuation find other planets quickly the need for deep space exploration is a must literally families in space to ensure our continuation and save our planet really crack down with the laws on littering pollution and strippingmining trees even animals that are becoming extinct,Positive
2021-09-22T23:09:53.000Z,3,5.0,oh my i think there needs to be more done than just reducing carbon emissions  i hope there is a plan b and plan c in the works,Positive
2021-09-22T22:45:02.000Z,6,5.0,its about to be a survival for the fittest whether you are aware of the causes or not,Positive
2021-09-22T22:11:46.000Z,110,3.0,i love watch nasa dunk on people who think they can debunk climate change,Positive
2021-09-22T20:23:40.000Z,4,36.0,if i were a gambling man id look at the pattern every year the temperature has risen the one following has been the same or cooler i wouldnt be surprised to see that pattern broken though ,Negative
2021-09-22T19:58:26.000Z,18,,  where do you think september  will be   since nothings been done to stop the warming trend somewhere above where it is now ,Neutral
2020-09-16T16:04:37.000Z,1,5.0,lies compare the actual recorded temps to this chart and the lie is blatant the  were actually at or higher than the  claims on this chart,Negative
2020-09-16T01:51:19.000Z,8,11.0,are these the same scientist that claimed we were headed for an ice age in the late s  yea everybody should believe the science because scientists say so,Negative
2020-09-17T14:36:44.000Z,0,3.0,can you show the correlation of earth temperatures and sun activity,Neutral
2020-09-17T14:28:06.000Z,0,3.0,our magnetic north has moved  miles a year since  i think that qualifies that as in our lifetime ,Neutral
2020-09-17T04:33:45.000Z,0,9.0,are you looking at sunspot data since they have been recording them and the correlation of effect on our climate i have and research shows sunspots have had huge effect on our climate not to mention the effects of volcanic eruptions for example when mt st helens erupted it cooled earth entire temperature  degrees,Positive
2020-09-17T03:17:52.000Z,0,1.0,need to spread your data out not saying we as humans dont need to be more efficient lots of spikes and valleys,Positive
2020-09-17T02:42:54.000Z,2,10.0,why do climate change scientists never show up to debates on climate change the earths surface has risen  whole degree in the last  years and yall never showed up to debate it shocking,Negative
2020-09-17T02:24:09.000Z,2,1.0,we have billions of asphalt on earth world is not able to cool down from the asphalt due to fact holding in heat wake up stupid people yes other thing contribute also main problem asphalt,Negative
2020-09-17T01:40:07.000Z,0,1.0,what causes the earths core to increase and how much has it increased in the last  years,Positive
2020-09-16T20:13:41.000Z,0,6.0,theory is free all the dammed rivers in the world let the rivers flow into the sea like god intended man plans god laughswe are a planet of water when you dam a river you disrupt the rotation of earth thus causing global warming ,Positive
2020-09-16T19:31:12.000Z,0,2.0,do you not know that the axis has moved move than ever do you know whydont tell me climatic change,Neutral
2020-09-16T18:31:46.000Z,1,5.0,what are you going to do about mars mars is warming up faster than the earth oh you think it might be a cycle of the sun and we cannot do anything about it   if youre worried about air pollution the us has done a very good job of that  go and talk to china and india about it theyre pretty much the world leaders in pollution ,Positive
2020-09-16T16:27:22.000Z,2,8.0,here is the real story it shows about  year cycles between ice age and warm periods,Positive
2020-09-16T16:24:50.000Z,1,1.0,isnt it disingenuous to show increase in temperature since  the coldest year in the last  years,Neutral
2020-09-16T15:15:02.000Z,1,8.0,why start in  go back at lest  years if you want any kind of climate picture,Positive
2020-09-16T14:52:43.000Z,0,11.0,hi nasa can you explain to me why this year would have been warmer when the co gases where dramatically lowered because of the pandemic i am not a denyer i am just trying to figure out the data ,Neutral
2020-09-16T14:09:32.000Z,2,5.0,no accountabilty for the fact our north pole has migrated so far they had to rewrite gps software  since the magnetic poles are no longer diametrically opposed it weakens our magnetosphere which protects us from cosmic radiation if your model does not account for this youre not using science,Positive
2020-09-16T12:45:23.000Z,9,44.0,im afraid nasa has been added to my list of agencies with no credibility wow that list just keeps growing ,Negative
2020-09-16T12:33:31.000Z,16,31.0,nasa climate change thanks for all the work and for your dedication especially for answering a lot of the sceptics comments with real scientific datas keep on doing a great job,Positive
2020-09-16T12:17:19.000Z,2,3.0,its called fall,Neutral
2020-09-16T11:56:52.000Z,1,6.0,where are the graphs for the roman warm period and the medieval warm period,Positive
2020-09-16T11:53:03.000Z,0,19.0,climate change is a political issue created by the left to institute their policy there is no global warming it cant be proven it does not exist,Neutral
2020-09-16T10:07:19.000Z,2,7.0,"hasnt our climate been warming since the ice age
much of earth was a tropical rain forrest including antarctica north pole had a tropical climate as well is earth just getting back to what it once was",Positive
2020-09-16T09:21:02.000Z,4,25.0,all this crap is based on false information so scientists can continue to receive grants you guys who buy into this bull are truly gullible,Negative
2020-09-16T05:53:02.000Z,0,1.0,what about  very convenient to start at ,Positive
2020-09-16T04:43:38.000Z,2,5.0,the vast majority of earths history has been a lot warmer than we are now  modern humans have only been around for a tiny fraction of that time  trilobites must have not been very green,Negative
2020-09-16T02:54:25.000Z,0,5.0,has a lot to do with the sun,Neutral
2020-09-16T02:53:35.000Z,4,5.0,wow we are almost as warm as we were in the medieval climate optimum around a thousand years ago,Positive
2020-09-16T02:43:14.000Z,0,5.0,can you continue back further in time by whatever means you have to determine temperature,Neutral
2020-09-16T02:33:43.000Z,3,1.0,we never had climate change till they strady shooting rockets in to space the more we explore space the words our planet changes you blame our cars  what about rocket file it takes to lift off to get in to space,Positive
2020-09-16T02:22:06.000Z,4,2.0,anyone else think climate change is a natural part of earths cycle,Positive
2020-09-16T01:54:53.000Z,1,3.0,alright so who caused the ice age,Neutral
2020-09-16T01:13:24.000Z,3,2.0,moonlandings climate change covid etc are hoaxes dont buy,Neutral
2020-09-15T23:03:53.000Z,0,1.0,southern hemisphere,Neutral
2020-09-15T22:54:01.000Z,16,6.0,"i remember in the s everything was about a new ice age that did not happen 
read apocalypse never by micheal sellenberger get some real solid information ",Positive
2020-09-15T22:53:10.000Z,2,23.0,summers are getting hotter and winters are getting colder as a result of climate change ,Neutral
2020-09-15T22:25:05.000Z,6,29.0,the southern hemisphere has gotten colder  which means what then,Neutral
2020-09-15T22:18:48.000Z,2,22.0,"is there a reason the change escalates so drastically in the s

i know we saw a huge spike in co at the start of the industrial revolution and by this chart we can see the temps increase around that time but they stay mostly steadyish up until roughly  then it starts to spike again",Positive
2020-09-15T22:18:44.000Z,2,14.0,how does one go about taking the earths temperature i know how to take my own temperature but thats it if its a matter of taking a bunch of temperatures in a bunch of locations how do you decide which locations,Positive
2020-09-15T22:15:12.000Z,1,4.0,why start at ,Neutral
2020-09-15T22:08:48.000Z,3,7.0,"oh dont worry  
prez said that soon it will start cooling down again",Negative
